Model Name,Accuracy,Precision,Recall,F1 Score
aryan_2024-04-09_17-13-18,0.5823817292006526,0.6069681179927314,0.5823817292006526,0.572675303430319
aryan_2024-04-09_17-15-22,0.6215334420880914,0.6311452161433921,0.6215334420880914,0.6020585782259764
aryan_2024-04-09_17-15-52,0.634584013050571,0.6349352137807409,0.634584013050571,0.6286083964632612
aryan_2024-04-09_17-19-22,0.6264274061990212,0.6528727609987339,0.6264274061990212,0.5946764609812049
aryan_2024-04-09_17-19-48,0.6158238172920065,0.6202783321564679,0.6158238172920065,0.6160385362503324
aryan_2024-04-09_17-22-34,0.6370309951060359,0.6438079680218205,0.6370309951060359,0.6368088149218529
