Model Name,Accuracy,Precision,Recall,F1 Score
aryan_2024-04-09_17-13-18,0.5873555404486743,0.6200779690675122,0.5873555404486743,0.5780675523354555
aryan_2024-04-09_17-15-22,0.6451393609789259,0.6559507902885984,0.6451393609789259,0.6246991152881392
aryan_2024-04-09_17-15-52,0.6471787899388172,0.6463105994618937,0.6471787899388172,0.6406018773543072
aryan_2024-04-09_17-19-22,0.6594153636981646,0.6923272969715687,0.6594153636981646,0.6286187556907954
aryan_2024-04-09_17-19-48,0.6322229775662814,0.6391744772024458,0.6322229775662814,0.6328290955004533
aryan_2024-04-09_17-22-34,0.637661454792658,0.6502016310103311,0.637661454792658,0.6373121192014208
